"name","Calories (kcal)","Carbohydrates (g)","Total Sugar (g)","Protein (g)","Total Fat (g)","Cholesterol (mg)","Vitamin B6 (mg)","Vitamin A (IU)","Vitamin B12 (ug)","Vitamin C (mg)","Vitamin D (IU)","Vitamin E (IU)","Calcium (g)"
"grapes","0.69","0.181","0.1548","0.0072","0.0016","0","0.00086","0.66","0","0.032","0","0.0019","0.1"
"melon","0.28","0.0658","0.0569","0.0111","0.001","0","0.00163","0","0","0.218","0","0.0005","0.11"
"watermelon","0.3","0.0755","0.062","0.0061","0.0015","0","0.00045","5.69","0","0.081","0","0.0005","0.07"
"tangerine","0.53","0.1334","0.1058","0.0081","0.0031","0","0.00078","6.81","0","0.267","0","0.002","0.37"
"lemon","0.29","0.0932","0.025","0.011","0.003","0","0.0008","0.22","0","0.53","0","0.0015","0.26"
"banana","0.89","0.2284","0.1223","0.0109","0.0033","0","0.00367","0.64","0","0.087","0","0.001","0.05"
"pineapple","0.5","0.1312","0.0985","0.0054","0.0012","0","0.00112","0.58","0","0.478","0","0.0002","0.13"
"red apple","0.63","0.1522","0.1168","0.002","0.0018","0","0.00045","0.38","0","0","0","0.0018","0.07"
"green apple","0.58","0.1361","0.0959","0.0044","0.0019","0","0.00037","1","0","0","0","0.0018","0.05"
"pear","0.57","0.1523","0.0975","0.0036","0.0014","0","0.00029","0.25","0","0.043","0","0.0012","0.09"
"peach","0.39","0.0954","0.0839","0.0091","0.0025","0","0.00025","3.26","0","0.066","0","0.0073","0.06"
"cherries","0.63","0.1601","0.1282","0.0106","0.002","0","0.00049","0.64","0","0.07","0","0.0007","0.13"
"strawberry","0.32","0.0768","0.0489","0.0067","0.003","0","0.00047","0.12","0","0.588","0","0.0029","0.16"
"kiwifruit","0.61","0.1466","0.0899","0.0114","0.0052","0","0.00063","0.87","0","0.927","0","0.0146","0.34"
"tomato","0.18","0.0389","0.0263","0.0088","0.002","0","0.0008","8.33","0","0.137","0","0.0054","0.1"
"avocado","1.6","0.0853","0.0066","0.02","0.1466","0","0.00257","1.46","0","0.1","0","0.0207","0.12"
"eggplant","0.25","0.0588","0.0353","0.0098","0.0018","0","0.00084","0.23","0","0.022","0","0.003","0.09"
"potato","0.9","0.2071","0.0648","0.0201","0.0015","0","0.00286","192.18","0","0.196","0","0.0071","0.38"
"carrot","0.41","0.0958","0.0474","0.0093","0.0024","0","0.00138","167.06","0","0.059","0","0.0066","0.33"
"corn","0.96","0.2098","0.0454","0.0341","0.015","0","0.00139","2.63","0","0.055","0","0.0009","0.03"
"hot pepper","0.4","0.0881","0.053","0.0187","0.0044","0","0.00506","9.52","0","1.437","0","0.0069","0.14"
"cucumber","0.15","0.0363","0.0167","0.0065","0.0011","0","0.0004","1.05","0","0.028","0","0.0003","0.16"
"mushroom","0.22","0.0326","0.0198","0.0309","0.0034","0","0.00104","0","0.0004","0.021","0.07","0.0001","0.03"
"peanuts","5.67","0.1613","0.0472","0.258","0.4924","0","0.00348","0","0","0","0","0.0833","0.92"
"chestnut","1.96","0.4417","0","0.0163","0.0125","0","0.00352","0.26","0","0.402","0","0","0.19"
"bread","2.74","0.4754","0.0573","0.1067","0.0453","0","0.00111","0.02","0","0.002","0","0.0019","1.25"
"croissant","4.06","0.458","0.1126","0.082","0.21","0.67","0.00058","7.44","0.0016","0.002","0","0.0084","0.37"
"french bread","2.72","0.5188","0.0462","0.1075","0.0242","0","0.00107","0.01","0","0","0","0.0021","0.52"
"pancakes","2.27","0.283","0","0.064","0.097","0.59","0.00046","1.96","0.0022","0.003","0","0","2.19"
"cheese","3.93","0.0144","0","0.2696","0.3099","0.93","0.00071","10.47","0.0306","0","0","0.006","8.9"
"beef","2.17","0","0","0.2748","0.1105","0.81","0.00758","0.05","0.0189","0","0.03","0.0014","0.19"
"chicken","1.84","0","0","0.2403","0.0899","1.27","0.00413","0.68","0.0038","0","0.04","0.0019","0.12"
"bacon","8.98","0","0","0.0007","0.995","0.97","0.00005","0.37","0.0009","0","0","0","0.01"
"hamburger","2.54","0.2481","0","0.1174","0.1225","0.24","0.0011","0.75","0.008","0.015","0","0","0.57"
"french fries","3.12","0.4144","0.003","0.0343","0.1473","0","0.00372","0","0","0.047","0","0.0167","0.18"
"pizza","2.66","0.3333","0.0358","0.1139","0.0969","0.17","0.0008","3.58","0.0042","0.014","0","0.0083","1.88"
"hotdog","2.47","0.184","0","0.106","0.1484","0.45","0.0005","0","0.0052","0.001","0","0","0.24"
"taco","2.26","0.1985","0.009","0.0886","0.127","0.28","0.0009","1.31","0.0093","0.004","0.04","0.006","0.89"
"burrito","1.8","0.2337","0.021","0.0703","0.068","0.12","0.00097","2.77","0.0027","0.013","0.03","0.0028","0.9"
"popcorn","5","0.572","0","0.09","0.281","0","0.00209","0.11","0","0.003","0","0","0.1"
"rice crackers","4.16","0.8264","0","0.1","0.05","0","0.00554","0","0","0","0","0.0126","0"
"rice","1.3","0.2859","0","0.0238","0.0021","0","0.0005","0","0","0","0","0","0.03"
"spaghetti","1.57","0.3059","0.0056","0.058","0.0093","0","0.00049","0","0","0","0","0.0006","0.07"
"fried shrimp","3.08","0.2799","0.001","0.0784","0.189","0.58","0.0006","1.09","0.0053","0","0.01","0.0252","0.29"
"ice cream","2.22","0.222","0.2116","0.041","0.13","0.91","0.00048","5.89","0.005","0.008","0.29","0.0061","1.31"
"doughnut","4.17","0.574","0.3192","0.045","0.199","0.57","0.00027","0.39","0.001","0.001","0","0.0021","2.13"
"cookie","4.97","0.661","0","0.046","0.252","0","0.00017","0.04","0","0","0","0","0.43"
"cake","3.71","0.534","0","0.053","0.151","0.58","0.00041","1.4","0.0016","0.002","0","0","0.6"
"chocolate bar","5.18","0.6459","0.4868","0.0651","0.2599","0.11","0.0002","0.81","0.0056","0","0","0.0034","1.25"
"candy","3.94","0.98","0.629","0","0.002","0","0.00003","0","0","0","0","0","0.03"
"custard flan","1.45","0.2278","0.2315","0.0453","0.0403","0.9","0.00044","1.61","0.0036","0","0","0.0023","0.83"
"honey","3.04","0.824","0.8212","0.003","0","0","0.00024","0","0","0.005","0","0","0.06"
"milk","0.64","0.0465","0","0.0328","0.0366","0.14","0.00042","1.38","0.0036","0.015","0","0","1.19"
"black tea","0.01","0.003","0","0","0","0","0","0","0","0","0","0","0"
"sake","1.34","0.05","0","0.005","0","0","0","0","0","0","0","0","0.05"
"champagne","0.84","0.0216","0.0096","0.0007","0","0","0.0005","0","0","0","0","0","0.09"
"red wine","0.85","0.0261","0.0062","0.0007","0","0","0.00057","0.02","0","0","0","0","0.08"
"beer","0.43","0.0355","0","0.0046","0","0","0.00046","0","0.0002","0","0","0","0.04"
